,Region,Model,Timestamp,ValveEstimate
4689,0.0,1.0,1626459412,1.0
4697,2.0,1.0,1626455896,1.0
4700,2.0,1.0,1626455912,1.0
4701,2.0,2.0,1626455294,1.0
4704,1.0,1.0,1626455612,1.0
4705,2.0,1.0,1626456114,1.0
4706,2.0,2.0,1626455240,1.0
4710,1.0,1.0,1626455781,1.0
4723,2.0,1.0,1626455676,1.0
4725,0.0,1.0,1626460421,1.0
4728,0.0,1.0,1626460440,1.0
4734,0.0,2.0,1626460532,1.0
4735,0.0,2.0,1626463256,1.0
4737,0.0,2.0,1626459355,1.0
4738,2.0,0.0,1626456963,1.0
4740,0.0,2.0,1626458367,1.0
4741,2.0,2.0,1626455421,1.0
4751,2.0,1.0,1626455880,1.0
4754,0.0,2.0,1626459141,1.0
4756,0.0,2.0,1626458036,1.0
4763,2.0,1.0,1626455909,1.0
4767,2.0,1.0,1626477506,1.0
4774,1.0,2.0,1626455835,1.0
4776,0.0,1.0,1626459375,1.0
4782,0.0,2.0,1626459426,1.0
4783,0.0,2.0,1626460537,1.0
4784,0.0,2.0,1626462348,1.0
4800,0.0,2.0,1626457885,1.0
4811,2.0,1.0,1626455760,1.0
4817,1.0,1.0,1626455598,1.0
4834,0.0,2.0,1626459115,1.0
4835,2.0,2.0,1626455243,1.0
4854,2.0,2.0,1626455647,1.0
4860,2.0,2.0,1626455458,1.0
4874,2.0,1.0,1626456355,1.0
4876,2.0,2.0,1626455245,1.0
4879,2.0,0.0,1626457052,1.0
4887,0.0,1.0,1626461435,1.0
4902,0.0,1.0,1626464960,1.0
4909,0.0,2.0,1626460544,1.0
4915,2.0,2.0,1626455442,1.0
4917,0.0,2.0,1626462016,1.0
4929,1.0,2.0,1626455251,1.0
4943,0.0,2.0,1626463487,1.0
4951,2.0,1.0,1626456184,1.0
4954,2.0,0.0,1626458425,1.0
4961,2.0,1.0,1626455989,1.0
4969,2.0,2.0,1626455515,1.0
5020,2.0,2.0,1626455509,1.0
5040,2.0,2.0,1626455439,1.0
5053,0.0,2.0,1626457974,1.0
5054,0.0,2.0,1626458412,1.0
5076,2.0,2.0,1626455580,1.0
5136,1.0,0.0,1626458170,1.0
5139,2.0,2.0,1626455289,1.0
5140,0.0,2.0,1626462352,1.0
5146,2.0,0.0,1626458740,1.0
5152,2.0,2.0,1626455659,1.0
5178,1.0,1.0,1626455873,1.0
5244,0.0,1.0,1626461097,1.0
5246,0.0,1.0,1626461585,1.0
5249,0.0,2.0,1626459213,1.0
5251,0.0,1.0,1626462299,1.0
5255,2.0,1.0,1626456330,1.0
5256,2.0,1.0,1626455915,1.0
5257,2.0,2.0,1626455558,1.0
5261,0.0,1.0,1626462830,1.0
5263,0.0,2.0,1626459393,1.0
5264,2.0,1.0,1626455940,1.0
5266,2.0,2.0,1626455528,1.0
5269,2.0,1.0,1626455988,1.0
5279,2.0,2.0,1626455564,1.0
5281,2.0,2.0,1626455521,1.0
5287,2.0,0.0,1626457278,1.0
5290,2.0,1.0,1626455888,1.0
5292,2.0,1.0,1626455990,1.0
5295,1.0,1.0,1626455661,1.0
5298,0.0,2.0,1626459402,1.0
5301,2.0,0.0,1626457667,1.0
5303,0.0,1.0,1626461455,1.0
5306,0.0,2.0,1626460522,1.0
5307,0.0,1.0,1626462307,1.0
5309,0.0,2.0,1626460313,1.0
5311,2.0,1.0,1626455916,1.0
5317,2.0,1.0,1626455991,1.0
5323,2.0,1.0,1626455772,1.0
5325,0.0,2.0,1626459413,1.0
5330,0.0,2.0,1626460055,1.0
5338,2.0,1.0,1626455995,1.0
5342,2.0,2.0,1626455559,1.0
5349,2.0,2.0,1626455490,1.0
5350,2.0,2.0,1626455620,1.0
5360,2.0,2.0,1626455520,1.0
5365,2.0,2.0,1626455491,1.0
5370,2.0,2.0,1626455544,1.0
5374,2.0,2.0,1626455562,1.0
5376,2.0,1.0,1626456029,1.0
5396,0.0,1.0,1626461996,1.0
5398,1.0,2.0,1626455241,1.0
5420,2.0,1.0,1626456182,1.0
5426,2.0,2.0,1626455400,1.0
5433,2.0,2.0,1626455546,1.0
5435,2.0,0.0,1626456760,1.0
5440,0.0,2.0,1626459392,1.0
5442,2.0,1.0,1626455854,1.0
5446,2.0,0.0,1626457669,1.0
5448,0.0,2.0,1626459416,1.0
5452,2.0,2.0,1626455549,1.0
5457,2.0,2.0,1626455562,1.0
5461,1.0,0.0,1626462815,1.0
5464,0.0,1.0,1626461983,1.0
